,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar,Z3-4.4.1,Z3-4.3.2,CVC3,CVC4,Yices,veriT,Alt-Ergo-1.01,Alt-Ergo-0.95.2,Predicted Alt-Ergo-0.95.2,Predicted Alt-Ergo-1.01,Predicted CVC3,Predicted CVC4,Predicted Yices,Predicted Z3-4.3.2,Predicted Z3-4.4.1,Predicted veriT,key,rf,rf time,rf result,best,best time,best result,worst,worst time,worst result,dt,dt time,dt result,rand time
vacid_0_red_black_trees:RedBlackTree:lt_right,Unknown,0.991123247714,Unknown,0.248952829778,Valid,0.0917924818049,Unknown,0.162806089258,Unknown,0.0803891864857,Valid,0.095871350451,Valid,0.102384571453,0.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,3.0,lt_right,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,13.0,RedBlackTree,0.0,8.0,Failure,2.7806219248,0.0,0.0,0.102384571453,0.095871350451,0.0917924818049,10.1628060893,10.0803891865,10.3793958537,10.2489528298,10.9911232477,4.15804595168,4.05008375455,8.89617694111,9.52593471936,11.2819680735,6.71627459258,6.84615703089,6.75073939747,vacid_0_red_black_trees:RedBlackTree:lt_right,AazvZ34y,1.33594742794,Valid,3zZy4Ava,0.0917924818049,Valid,avA4yZz3,4.36627784949,Valid,a3AyzZv4,1.08291572952,Valid,1.16265612075
vacid_0_red_black_trees:RedBlackTree:lt_tree_node,Valid,0.107120568182,Valid,0.1093270131,Valid,0.0888432938788,Valid,0.0958873242353,Unknown,0.0834695501918,Valid,0.10096706431,Valid,0.0999873499375,0.0,0.0,2.5,0.0,7.0,8.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,5.0,lt_tree_node,0.0,0.0,3.0,0.0,0.0,12.0,8.0,0.0,1.0,0.0,0.0,21.0,RedBlackTree,0.0,12.0,Failure,2.86752491227,0.0,0.0,0.0999873499375,0.10096706431,0.0888432938788,0.0958873242353,10.0834695502,10.4030139442,0.1093270131,0.107120568182,6.03130178073,5.23784955181,6.89274110348,7.27096868526,8.11146994659,7.4877070679,6.80673918245,9.05725417187,vacid_0_red_black_trees:RedBlackTree:lt_tree_node,AaZ34zyv,0.1093270131,Valid,34ZzaAyv,0.0888432938788,Valid,vyAazZ43,3.06032147556,Valid,Aa3yzZ4v,0.1093270131,Valid,0.521926073102
vacid_0_red_black_trees:RedBlackTree:lt_tree_not_in,Valid,0.105600848367,Valid,0.10878972875,Valid,0.08813129979,Valid,0.10436098909,Valid,0.0826749825362,Valid,0.101841708481,Valid,0.104313897957,0.0,0.0,2.5,0.0,6.0,4.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,2.0,2.0,lt_tree_not_in,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,1.0,0.0,11.0,RedBlackTree,0.0,5.0,Valid,0.0823445158036,0.0,0.0,0.104313897957,0.101841708481,0.08813129979,0.10436098909,0.0826749825362,0.0823445158036,0.10878972875,0.105600848367,7.22393691558,6.60782492533,6.4795642446,7.15261818787,8.06101506242,7.05352753834,6.8117644738,8.62732362692,vacid_0_red_black_trees:RedBlackTree:lt_tree_not_in,3AZz4ayv,0.08813129979,Valid,vy3zZ4aA,0.0823445158036,Valid,Aa4Zz3yv,0.10878972875,Valid,4Zzv3Aay,0.10436098909,Valid,0.0972572463468
vacid_0_red_black_trees:RedBlackTree:lt_tree_trans,Valid,0.107961806442,Valid,0.10948521305,Valid,0.08843122154,Valid,0.10095338568,Unknown,0.08134938293,Valid,0.103145554933,Valid,0.101987655093,0.0,0.0,2.4,0.0,6.0,5.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,2.0,3.0,lt_tree_trans,0.0,0.0,2.0,0.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,13.0,RedBlackTree,0.0,6.0,Valid,0.0812297533,0.0,0.0,0.101987655093,0.103145554933,0.08843122154,0.10095338568,10.0813493829,0.0812297533,0.10948521305,0.107961806442,3.65662383511,3.04860831214,2.40598009298,2.91473670257,4.34830361546,3.82472093827,2.73340271921,4.41661892151,vacid_0_red_black_trees:RedBlackTree:lt_tree_trans,3Z4Aazyv,0.08843122154,Valid,v34ZzaAy,0.0812297533,Valid,yAazZ43v,0.19083459598,Valid,4Z3vyzAa,0.10095338568,Valid,0.109196471443
vacid_0_red_black_trees:RedBlackTree:memt_color,Valid,0.106006897,Valid,0.102160011143,Valid,0.0804681043247,Valid,0.0912901348571,Valid,0.067275556,Valid,0.0941973251864,Valid,0.0936645023433,0.0,0.0,3.8,0.0,5.0,5.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,4.0,memt_color,0.0,0.0,1.0,0.0,0.0,14.0,5.0,0.0,1.0,0.0,0.0,20.0,RedBlackTree,0.0,14.0,Valid,3.9072400896,0.0,0.0,0.0936645023433,0.0941973251864,0.0804681043247,0.0912901348571,0.067275556,3.9072400896,0.102160011143,0.106006897,3.79991638754,3.6636861502,9.53845762132,9.6156420218,11.4711593897,6.44157897809,6.44340025568,6.55335807847,vacid_0_red_black_trees:RedBlackTree:memt_color,AazZv34y,0.102160011143,Valid,y34ZzAav,0.067275556,Valid,vaAzZ43y,3.9072400896,Valid,AavZz34y,0.102160011143,Valid,0.567787827557
vacid_0_red_black_trees:RedBlackTree:rbtree_Leaf,Valid,0.116330056,Valid,0.11796891403,Valid,0.0916187672727,Valid,0.103547963042,Unknown,0.09021496039,Valid,0.098198801129,Valid,0.105196440487,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,0.0,2.0,rbtree_Leaf,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,RedBlackTree,0.0,0.0,Valid,0.0868344689818,0.0,1.0,0.105196440487,0.098198801129,0.0916187672727,0.103547963042,10.0902149604,0.0868344689818,0.11796891403,0.116330056,3.57902074699,3.49475505106,0.842222691885,1.81088167674,2.51499742456,1.62406917546,0.72205683347,2.12824615651,vacid_0_red_black_trees:RedBlackTree:rbtree_Leaf,Z3z4vyAa,0.105196440487,Valid,v3z4ZaAy,0.0868344689818,Valid,yAaZ4z3v,0.20818387442,Valid,3Zzv4yAa,0.0916187672727,Valid,0.114090500183
vacid_0_red_black_trees:RedBlackTree:rbtree_Node1,Valid,0.119419963182,Valid,0.1235252574,Valid,0.0953376180143,Valid,0.10643732421,Valid,0.0875457428784,Valid,0.0998633047766,Valid,0.100866016318,0.0,0.0,1.6,0.0,4.0,5.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,5.0,rbtree_Node1,0.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,9.0,RedBlackTree,0.0,2.0,Valid,0.0933765407143,0.0,3.0,0.100866016318,0.0998633047766,0.0953376180143,0.10643732421,0.0875457428784,0.0933765407143,0.1235252574,0.119419963182,9.9119007599,8.87940851095,7.54449504749,1.46292214251,8.59820502027,9.92376276012,4.25091404141,7.96603029359,vacid_0_red_black_trees:RedBlackTree:rbtree_Node1,4Z3vyAaz,0.10643732421,Valid,yv3zZ4aA,0.0875457428784,Valid,Aa4Zz3vy,0.1235252574,Valid,A3av4Zzy,0.1235252574,Valid,0.103296470937
vacid_0_red_black_trees:RedBlackTree:rbtree_almost_rbtree,Valid,0.127112596597,Valid,0.124226909733,Failure,5.7087314348,Valid,0.1090143135,Timeout,10.0846166398,Valid,0.162655820176,Valid,0.168080023662,0.0,0.0,2.333333,0.0,4.0,3.0,0.0,0.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,2.0,rbtree_almost_rbtree,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,8.0,RedBlackTree,0.0,4.0,Unknown,0.426444070806,0.0,0.0,0.168080023662,0.162655820176,11.5147563845,0.1090143135,14.2020946614,10.4264440708,0.124226909733,0.127112596597,8.66557932035,7.9073653866,6.99909627469,5.94531675514,7.88167187308,7.70764290658,6.54190523814,8.58251616093,vacid_0_red_black_trees:RedBlackTree:rbtree_almost_rbtree,4Z3zyAva,0.1090143135,Valid,4AazZv3y,0.1090143135,Valid,y3vZzaA4,16.3878721691,Valid,a3AyzZv4,0.127112596597,Valid,2.84151662363
vacid_0_red_black_trees:RedBlackTree:rbtree_almost_rbtree_ex,Valid,0.115775770476,Valid,0.120816033269,Valid,0.0976702899,Valid,0.112426546521,Valid,0.0892578073721,Valid,0.100886493971,Valid,0.105854738,0.0,0.0,3.0,0.0,5.0,3.0,0.0,2.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,2.0,rbtree_almost_rbtree_ex,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,10.0,RedBlackTree,0.0,4.0,Valid,0.08856668866,0.0,0.0,0.105854738,0.100886493971,0.0976702899,0.112426546521,0.0892578073721,0.08856668866,0.120816033269,0.115775770476,5.98455397811,5.7085150649,8.93262037107,9.2357393272,10.6429113888,7.2729991323,7.34679079946,7.58173502873,vacid_0_red_black_trees:RedBlackTree:rbtree_almost_rbtree_ex,AazZv34y,0.120816033269,Valid,vy3zZ4aA,0.08856668866,Valid,Aa4Zz3yv,0.120816033269,Valid,a3AyzZv4,0.115775770476,Valid,0.103906796021
vacid_0_red_black_trees:RedBlackTree:rbtree_left,Valid,0.121133618423,Valid,0.12380201275,Timeout,10.07319123,Valid,0.114861172947,Timeout,10.0754178892,Timeout,10.08580304,Timeout,10.0796556288,0.0,0.0,3.5,0.0,6.0,4.0,0.0,2.0,0.0,vacid_0_red_black_trees.mlw,0.0,1.0,3.0,rbtree_left,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,3.0,0.0,0.0,15.0,RedBlackTree,0.0,8.0,Failure,2.786926151,0.0,0.0,14.1985723788,14.2029371245,14.1939839917,0.114861172947,14.1955642946,10.3810865217,0.12380201275,0.121133618423,4.68161460828,4.38827561437,9.63522964777,9.78193732718,11.6884900229,7.30033540204,7.27126094195,7.27494929171,vacid_0_red_black_trees:RedBlackTree:rbtree_left,AaZvz34y,0.12380201275,Valid,4aAv3yZz,0.114861172947,Valid,zZy3vAa4,43.2247959517,Valid,AavZz34y,0.12380201275,Valid,10.8951807528
