,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar
vstte12_ring_buffer:RingBufferSeq:WP_parameter clear,Valid,0.18085436655999998,Valid,0.18811954156756758,Valid,0.18087284515789476,Valid,0.20841652031250002,Valid,0.16837019899999997,Valid,0.18807025609259262,Valid,0.19060141818918916,17.0,0.0,1.987013,0.0,19.0,77.0,0.0,0.0,0.0,vstte12_ring_buffer.mlw,0.0,5.0,51.0,WP_parameter clear,0.0,0.0,9.0,11.0,0.0,74.0,77.0,0.0,5.0,0.0,0.0,154.0,RingBufferSeq,0.0,61.0,Valid,0.16634656104,0.0,2.0
vstte12_ring_buffer:RingBufferSeq:WP_parameter create,Valid,0.17798588768674697,Valid,0.18467151945614035,Valid,0.1885702930227273,Valid,0.21834073148979594,Valid,0.1590100838,Valid,0.18834977687037038,Valid,0.18829151712903228,12.0,0.0,1.942308,0.0,18.0,52.0,0.0,0.0,0.0,vstte12_ring_buffer.mlw,0.0,4.0,34.0,WP_parameter create,0.0,0.0,6.0,18.0,0.0,49.0,52.0,0.0,4.0,0.0,0.0,102.0,RingBufferSeq,0.0,28.0,Valid,0.163755707175,0.0,3.0
vstte12_ring_buffer:RingBufferSeq:WP_parameter head,Valid,0.17714175645454544,Valid,0.18487743397333334,Valid,0.19148390814754096,Valid,0.21375266901449275,Valid,0.17185655069565217,Valid,0.19003692896875002,Valid,0.1844516808695652,11.0,0.0,2.022727,0.0,16.0,44.0,0.0,0.0,0.0,vstte12_ring_buffer.mlw,0.0,2.0,29.0,WP_parameter head,0.0,0.0,4.0,8.0,0.0,44.0,44.0,0.0,2.0,0.0,0.0,90.0,RingBufferSeq,0.0,36.0,Valid,0.1651994821,0.0,0.0
vstte12_ring_buffer:RingBufferSeq:WP_parameter length,Valid,0.1757813987647059,Valid,0.18385324149206345,Valid,0.16767337082539677,Valid,0.1861255114,Valid,0.15311628700000002,Valid,0.16931806966666665,Valid,0.1713578477,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,vstte12_ring_buffer.mlw,0.0,0.0,0.0,WP_parameter length,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RingBufferSeq,1.0,0.0,Valid,0.1639113852222222,0.0,0.0
vstte12_ring_buffer:RingBufferSeq:WP_parameter pop,Valid,0.20388107599999997,Valid,0.20291226333928572,Valid,0.24997421014285715,Timeout,10.244665226200002,Timeout,10.1670137648,Valid,0.19476713061538461,Valid,0.19783250523076923,31.0,0.0,2.058394,0.0,26.0,137.0,0.0,0.0,0.0,vstte12_ring_buffer.mlw,0.0,8.0,91.0,WP_parameter pop,1.0,0.0,14.0,25.0,1.0,137.0,138.0,1.0,8.0,0.0,0.0,283.0,RingBufferSeq,0.0,112.0,Timeout,10.1451740618,0.0,0.0
vstte12_ring_buffer:RingBufferSeq:WP_parameter push,Valid,0.22042595920689656,Valid,0.20849243750000004,Valid,0.23656852759375,Valid,0.24567242414999999,Valid,0.1770111698709677,Valid,0.19720352963636367,Valid,0.19192741139130437,22.0,0.0,2.14,0.0,24.0,100.0,0.0,0.0,0.0,vstte12_ring_buffer.mlw,0.0,6.0,67.0,WP_parameter push,3.0,0.0,10.0,14.0,1.0,106.0,103.0,3.0,6.0,0.0,0.0,215.0,RingBufferSeq,0.0,92.0,Timeout,10.156569512999999,0.0,0.0
vstte12_tree_reconstruction:Harness:WP_parameter harness,Unknown,0.24345247876923076,Unknown,0.7987153348,Timeout,10.1096694108,Timeout,10.4248610848,Failure,5.8773314632,Timeout,10.1106894498,Timeout,10.1050242892,1.0,0.0,1.545455,0.0,9.0,22.0,0.0,0.0,0.0,vstte12_tree_reconstruction.mlw,0.0,2.0,17.0,WP_parameter harness,0.0,0.0,1.0,6.0,1.0,16.0,22.0,0.0,2.0,2.0,0.0,35.0,Harness,0.0,5.0,Timeout,10.110152574999999,0.0,5.0
vstte12_tree_reconstruction:Harness:WP_parameter harness2,Unknown,0.1779302228,Unknown,1.0773795040833336,Timeout,10.1162753238,Timeout,10.541902177,Failure,6.774351137400001,Timeout,10.123520816600001,Timeout,10.1213606978,0.0,0.0,1.75,0.0,8.0,8.0,0.0,0.0,0.0,vstte12_tree_reconstruction.mlw,0.0,1.0,7.0,WP_parameter harness2,0.0,0.0,0.0,5.0,0.0,7.0,8.0,0.0,1.0,1.0,0.0,15.0,Harness,0.0,1.0,Timeout,10.110961398199999,0.0,1.0
vstte12_tree_reconstruction:Tree:WP_parameter depths_subtree,Valid,2.5695227252,Valid,0.2588134726,Timeout,10.113845346599998,Valid,2.976303912428571,Timeout,10.1428549292,Timeout,10.1099721276,Timeout,10.112194416600001,3.0,0.0,1.969697,2.0,13.0,33.0,0.0,0.0,1.0,vstte12_tree_reconstruction.mlw,0.0,1.0,26.0,WP_parameter depths_subtree,0.0,0.0,2.0,2.0,1.0,39.0,35.0,2.0,1.0,0.0,1.0,72.0,Tree,0.0,33.0,Timeout,10.095033125,0.0,3.0
vstte12_tree_reconstruction:Tree:WP_parameter depths_unique,Valid,0.31188049799999995,Valid,0.2889238769333333,Timeout,10.1160897556,Valid,0.8441172391999998,Unknown,1.5564029761249998,Timeout,10.1212471688,Timeout,10.1202035408,12.0,0.0,2.013514,7.0,16.0,74.0,0.0,0.0,4.0,vstte12_tree_reconstruction.mlw,0.0,1.0,54.0,WP_parameter depths_unique,0.0,0.0,3.0,1.0,3.0,96.0,81.0,7.0,1.0,0.0,2.0,171.0,Tree,0.0,82.0,Timeout,10.1123702162,2.0,7.0
vstte12_tree_reconstruction:Tree:depths_head,Unknown,0.1291816222,Unknown,0.13213855160000001,Unknown,0.1537297001282051,Unknown,0.1454719988,Timeout,9.8009858712,Failure,7.8091701074,Failure,7.887721741799998,0.0,0.0,2.25,1.0,4.0,4.0,0.0,0.0,1.0,vstte12_tree_reconstruction.mlw,0.0,1.0,4.0,depths_head,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,1.0,0.0,0.0,13.0,Tree,0.0,5.0,Timeout,10.1102918488,1.0,1.0
vstte12_tree_reconstruction:Tree:depths_prefix,Unknown,0.13075798791666668,Timeout,10.1175808074,Unknown,0.19323226250000003,Timeout,11.152925098199997,Failure,8.326516585571428,Timeout,10.1206369326,Timeout,10.1156210512,0.0,0.0,2.142857,0.0,6.0,7.0,0.0,0.0,0.0,vstte12_tree_reconstruction.mlw,0.0,1.0,6.0,depths_prefix,0.0,0.0,1.0,0.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,16.0,Tree,0.0,8.0,Timeout,10.1017385418,0.0,0.0
vstte12_tree_reconstruction:Tree:depths_prefix_simple,Unknown,0.12790597925,Unknown,0.15042398725454542,Unknown,0.15388831449999998,Unknown,0.1494744716,Unknown,0.09875806285714286,Valid,0.1307866202,Valid,0.14154027766666666,0.0,0.0,2.2,0.0,5.0,5.0,0.0,0.0,0.0,vstte12_tree_reconstruction.mlw,0.0,1.0,4.0,depths_prefix_simple,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,12.0,Tree,0.0,6.0,Timeout,10.111961344600001,0.0,0.0
